N1,N2,N3,ini_d1,ini_d2,ini_d3,sl_str,aud_str,strat1,strat2,fin_d1,fin_d2,fin_d3,fin_b1,fin_b2,fin_b3
1,5,4,4,4,4,0.25,0.25,5,5,3.71875,4.03125,3.359375,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,6,4,3.8125,5.78125,3.53125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.375,4.28125,6.921875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.59375,3.84375,3.375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,4,5.78125,6.3125,4.34375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,4,3.4375,6.03125,3.265625,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.34375,4.15625,2.796875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.03125,4.0,3.609375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.125,3.875,2.921875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.4375,4.71875,5.828125,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,6,5,4.5625,6.8125,4.09375,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.875,4.09375,3.84375,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.78125,4.25,3.875,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,6.625,4.71875,4.921875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.21875,4.375,3.8125,4.0,2.5,4.0
1,5,4,4,4,4,0.25,0.25,5,4,4.84375,5.8125,4.828125,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.375,4.34375,5.015625,4.0,2.0,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.65625,4.21875,4.171875,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.96875,4.34375,4.1875,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,6,4,4.03125,5.8125,5.0625,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,7.625,4.8125,5.859375,4.0,2.25,4.0
1,5,4,4,4,4,0.25,0.25,5,5,3.625,4.84375,4.484375,4.0,1.5,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.4375,4.5,4.1875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.75,4.1875,3.875,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.40625,4.09375,3.609375,4.0,2.5,4.0
1,5,4,4,4,4,0.25,0.25,5,4,3.875,5.40625,3.59375,4.0,1.75,4.0
1,5,4,4,4,4,0.25,0.25,5,5,4.34375,4.15625,4.0625,4.0,1.75,4.0
